Pathways	Species	Taxonomic-Range
ethylene glycol degradation	Escherichia coli // Saccharomyces cerevisiae // Saccharomyces cerevisiae	Fungi // Archaea // Bacteria <bacteria>
taxol biosynthesis	Taxus baccata // Taxus brevifolia // Taxus canadensis // Taxus chinensis // Taxus cuspidata // Taxus x media	Fungi // Pinidae
2-deoxy-D-ribose degradation II	Paraburkholderia bryophila // Paraburkholderia phytofirmans // Pseudomonas simiae	Bacteria <bacteria>
superpathway of glycol metabolism and degradation	Escherichia coli // Pseudomonas putida	Bacteria <bacteria>
carnosate bioynthesis	Salvia fruticosa // Salvia officinalis // Salvia pomifera // Salvia rosmarinus	Lamiaceae
glycerol-3-phosphate to hydrogen peroxide electron transport	Escherichia coli	Dikarya // Bacteria <bacteria>
superpathway of ergosterol biosynthesis I	Saccharomyces cerevisiae	Fungi
methanol oxidation to carbon dioxide	Corynebacterium glutamicum	Bacteria <bacteria>
phytyl diphosphate biosynthesis	Nicotiana tabacum // Arabidopsis thaliana	Chlorophyta // Rhodophyta // Cyanobacteria // Viridiplantae
superpathway of ergosterol biosynthesis II	Chlamydomonas reinhardtii	Chlorophyta
cyclohexanol degradation	Nocardia globerula // Xanthobacter // Thauera butanivorans // Pseudomonas aeruginosa // Pseudomonas // Neisseriaceae // Brevibacterium epidermidis // Brachymonas petroleovorans // Acinetobacter sp. SE19 // Acinetobacter johnsonii // Microbacterium oxydans 	Proteobacteria // Actinobacteria
pyruvate to cytochrome <i>bo</i> oxidase electron transfer	Escherichia coli	Bacteria <bacteria> // Archaea
ergosterol biosynthesis II	Prototheca wickerhamii // Chlamydomonas reinhardtii	Chlorophyta
(<i>S</i>)-propane-1,2-diol degradation	Citrobacter freundii // Klebsiella oxytoca // Listeria innocua // Salmonella enterica // Salmonella enterica	Bacteria <bacteria>
guanosine ribonucleotides <i>de novo</i> biosynthesis	Glycine max // Saccharomyces cerevisiae // Escherichia coli // Homo sapiens // Salmonella enterica // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
ergosterol biosynthesis I	Saccharomyces cerevisiae	Fungi
phytol degradation	Homo sapiens // Rattus norvegicus	Opisthokonta // Mammalia
adenosine ribonucleotides <i>de novo</i> biosynthesis	Escherichia coli // Homo sapiens // Salmonella enterica	Eukaryota // Archaea // Bacteria <bacteria>
glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	Pseudomonas putida // Escherichia coli	Bacteria <bacteria> // Archaea
hemoglobin degradation	Plasmodium falciparum // Plasmodium malariae // Plasmodium ovale // Plasmodium vivax	Plasmodium <Plasmodium>
dimethylsulfoniopropanoate degradation III (demethylation)	Ruegeria pomeroyi // Ruegeria atlantica // Candidatus Pelagibacter ubique // Desulfocicer vacuolatum // Desulfocicer niacini // Desulfobacterium sp. PM4 // ruegeria frisia	Bacteria <bacteria>
protective electron sinks in the thylakoid membrane (PSII to PTOX)	Parasynechococcus marenigrum	Cyanobacteria
superpathway of dimethylsulfoniopropanoate degradation	Roseovarius nubinhibens // marine bacterium GAI-109 // Ruegeria pomeroyi // Roseobacter sp. DSS-8	Eukaryota // Bacteria <bacteria>
3,4-dichlorotoluene degradation	Cupriavidus sp. PS12	Bacteria <bacteria>
dimethylsulfoniopropanoate degradation I (cleavage)	Ruegeria pomeroyi // Aspergillus sydowii // Roseovarius nubinhibens // Cereibacter sphaeroides // Cereibacter sphaeroides // Fulvimarina pelagi // Maritimibacter alkaliphilus // Pseudooceanicola batsensis // Dinoroseobacter shibae // Roseibium aggregatum // Yoonia vestfoldensis // Sulfitobacter sp. NAS-14.1 // Sulfitobacter sp. EE-36 // DSMP-degrading bacterium LFR // Ulva curvata // Anaerotignum propionicum // Eutrichosiphonia paniculata // Oceanimonas doudoroffii // Crypthecodinium cohnii // Emiliania huxleyi // Fusarium lateritium // Vertebrata lanosa // Halodesulfovibrio aestuarii // Alcaligenes faecalis M3A	Eukaryota // Bacteria <bacteria>
2,5-dichlorotoluene degradation	Cupriavidus sp. PS12	Bacteria <bacteria>
NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Parasynechococcus marenigrum // Synechocystis sp. PCC 6803	Cyanobacteria
vancomycin resistance I	Enterococcus raffinosus // Enterococcus faecalis // Enterococcus faecium	Bacteria <bacteria>
dimethylsulfoniopropanoate degradation II (cleavage)	Burkholderia ambifaria // gamma proteobacterium HTCC2207 // Marinomonas sp. MED121 // Marinomonas sp. MWYL1 // Ruegeria pomeroyi // Sagittula stellata // Sinorhizobium fredii	Bacteria <bacteria>
2,4-dichlorotoluene degradation	Cupriavidus sp. PS12	Bacteria <bacteria>
teichuronic acid biosynthesis (<i>B. subtilis</i> 168)	Bacillus licheniformis // Bacillus subtilis // Bacillus subtilis	Firmicutes
(+)-camphor biosynthesis	Salvia officinalis	Viridiplantae
leucopelargonidin and leucocyanidin biosynthesis	Dahlia pinnata // Ginkgo biloba // Matthiola incana // Petunia x hybrida // Populus tremuloides // Populus trichocarpa // Saussurea medusa // Arabidopsis thaliana	Spermatophyta
NADH to cytochrome <i>bd</i> oxidase electron transfer II	Escherichia coli	Bacteria <bacteria> // Archaea
superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	Mycobacterium avium // Mycobacterium leprae // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Mycolicibacterium smegmatis	Mycobacteriaceae
(-)-camphor biosynthesis	Tanacetum balsamita // Tanacetum vulgare	Viridiplantae
leucodelphinidin biosynthesis	Catharanthus roseus // Dahlia pinnata // Eustoma grandiflorum // Matthiola incana // Petunia x hybrida // Arabidopsis thaliana	Spermatophyta
cytidine-5'-diphosphate-glycerol biosynthesis	Streptococcus pneumoniae // Streptococcus pneumoniae	Bacteria <bacteria>
cytokinins degradation	Zea mays // Arabidopsis thaliana	Viridiplantae
NADH to cytochrome <i>bd</i> oxidase electron transfer I	Escherichia coli	Metazoa // Bacteria <bacteria>
mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	Mycobacterium avium // Mycobacterium leprae // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Mycolicibacterium smegmatis	Mycobacteriaceae
2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-&beta;,&beta;-carotene monoglucoside biosynthesis	Curtobacterium flaccumfaciens // Dietzia sp. CQ4	Actinobacteria // Archaea
vancomycin resistance II	Enterococcus casseliflavus // Enterococcus faecalis // Enterococcus gallinarum	Bacteria <bacteria>
bacterioruberin biosynthesis	Haloarcula japonica // Halobacterium salinarum // Haloferax mediterranei // Haloferax volcanii	Archaea
3-phenylpropanoate degradation	Haloferax sp. D1227	Archaea // Bacteria <bacteria>
aerobic respiration I (cytochrome c)	Homo sapiens // Pseudomonas putida // Solanum tuberosum // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
superpathway of menaquinol-13 biosynthesis	Microbacterium lacticum // Microbacterium liquefaciens // Microbacterium saperdae // Microbacterium testaceum // Prevotella brevis // Prevotella oralis // Prevotella ruminicola	Microbacterium // Prevotella
decaprenoxanthin diglucoside biosynthesis	Corynebacterium glutamicum // Corynebacterium glutamicum	Actinobacteria
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	Rhodococcus globerulus // Escherichia coli	Bacteria <bacteria>
menaquinol-7 biosynthesis	Lactococcus cremoris // Salinivibrio costicola // Thermus aquaticus // Thermus thermophilus // Myxococcus fulvus // Prevotella melaninogenica // Bacillus subtilis // Bacillus halotolerans // Exiguobacterium acetylicum // Pimelobacter simplex // Staphylococcus warneri // Staphylococcus simulans // Staphylococcus saprophyticus // Staphylococcus hominis // Staphylococcus haemolyticus // Staphylococcus epidermidis // Staphylococcus cohnii // Staphylococcus capitis // Staphylococcus aureus // Listeria grayi // Brochothrix thermosphacta // Geobacillus stearothermophilus // Bacillus thuringiensis // Sporosarcina ureae // Sporolactobacillus inulinus // Desulfotomaculum nigrificans // Bacillus racemilacticus // Bacillus pumilus // Peribacillus psychrosaccharolyticus // Priestia megaterium // Bacillus licheniformis // Psychrobacillus insolitus // Cytobacillus firmus // Weizmannia coagulans // Niallia circulans // Bacillus cereus // Bacillus badius // Bacillus amyloliquefaciens // Domibacillus aminovorans // Alkalihalobacillus alcalophilus // Chlorobaculum thiosulfatiphilum // Eisenibacter elegans // Thermoplasma acidophilum	Archaea // Bacteria <bacteria>
sarcinaxanthin diglucoside biosynthesis	Cellulomonas biazotea // Micrococcus luteus	Actinobacteria
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	Escherichia coli	Proteobacteria
succinate to cytochrome <i>bd</i> oxidase electron transfer	Escherichia coli	Bacteria <bacteria>
menaquinol-4 biosynthesis I	Bacillariophyta // Cyanidium caldarium // Gloeobacter violaceus // Plasmodium falciparum // Synechococcus sp. PCC 7002	Cyanobacteria // Bacillariophyta // Rhodophyta // Plasmodiidae
thiosulfate disproportionation I (thiol-dependent)	Acidithiobacillus thiooxidans // Acinetobacter calcoaceticus // Saccharomyces cerevisiae // Thiobacillus thioparus	Fungi // Firmicutes // Proteobacteria
4-ethylphenol degradation (anaerobic)	Aromatoleum aromaticum	Bacteria <bacteria>
superpathway of menaquinol-9 biosynthesis	Glutamicibacter protophormiae // Lederbergia lenta // Blastochloris viridis // Brevibacterium fuscum // Clavibacter michiganensis // Clavibacter michiganensis // Clavibacter michiganensis // Clavibacter michiganensis // Corynebacterium diphtheriae // Curtobacterium albidum // Curtobacterium citreum // Curtobacterium flaccumfaciens // Curtobacterium luteum // Dermatophilus congolensis // Eisenibacter elegans // Gordonia bronchialis // Gordonia rubripertincta // Gordonia terrae // Jonesia denitrificans // Liquorilactobacillus mali // Lactococcus lactis // Lactococcus cremoris // Micrococcus luteus // Mycobacterium avium // Mycobacterium avium // Mycobacterium tuberculosis variant bovis // Mycolicibacterium farcinogenes // Mycobacterium intracellulare // Mycolicibacterium phlei // Mycolicibacterium smegmatis // Mycobacterium tuberculosis // Myxococcus fulvus // Odoribacter splanchnicus // Magnetospirillum fulvum // Magnetospirillum molischianum // Porphyromonas asaccharolytica // Porphyromonas levii // Rhodobacter capsulatus // Tsukamurella paurometabola	Bacteria <bacteria>
thiosulfate disproportionation II (cytochrome)	Desulfocapsa sulfexigens // Desulfotomaculum nigrificans // Desulfovibrio desulfuricans // Megalodesulfovibrio gigas // Desulfovibrio sulfodismutans // Desulfovibrio vulgaris	Bacteria <bacteria>
phenylethanol degradation	Pseudomonas putida	Metazoa // Bacteria <bacteria>
NADH to hydrogen peroxide electron transfer	Escherichia coli	Dikarya // Bacteria <bacteria>
menaquinol-10 biosynthesis	Nocardiopsis dassonvillei // Actinomyces bovis // Rathayibacter tritici // Rathayibacter iranicus // Leifsonia aquatica // Phocaeicola vulgatus // Bacteroides thetaiotaomicron // Prevotella oralis // Bacteroides ovatus // Prevotella melaninogenica // Bacteroides fragilis // Bacteroides eggerthii // Parabacteroides distasonis // Porphyromonas asaccharolytica	Actinobacteria // Bacteroidetes <Bacteroidetes>
thiosulfate disproportionation IV (rhodanese)	Azotobacter vinelandii // Bos taurus // Escherichia coli // Mammalia // Starkeya novella	Bacteria <bacteria> // Eukaryota
bisphenol A degradation	Sphingobium japonicum	Bacteria <bacteria>
menaquinol-13 biosynthesis	Microbacterium liquefaciens // Microbacterium lacticum // Microbacterium testaceum // Microbacterium saperdae // Prevotella brevis // Prevotella ruminicola // Prevotella oralis	Microbacterium // Prevotella
thiosulfate disproportionation III (quinone)	Citrobacter freundii // Edwardsiella tarda // Proteus mirabilis // Salmonella enterica // Salmonella enterica	Bacteria <bacteria>
phenylethylamine degradation II	Paracoccus denitrificans // Pseudomonas putida	Bacteria <bacteria>
proline to cytochrome <i>bo</i> oxidase electron transfer	Pseudomonas putida // Escherichia coli	Archaea // Bacteria <bacteria>
superpathway of menaquinol-12 biosynthesis	Agromyces mediolanus // Microbacterium barkeri // Microbacterium imperiale // Microbacterium lacticum // Microbacterium liquefaciens // Microbacterium saperdae // Microbacterium testaceum // Prevotella brevis // Prevotella oralis // Prevotella ruminicola	Agromyces // Microbacterium // Prevotella
chitin deacetylation	Saccharomyces cerevisiae	Opisthokonta
phenylethylamine degradation I	Escherichia coli	Metazoa // Bacteria <bacteria>
superpathway of menaquinol-8 biosynthesis I	Aeromonas caviae // Aeromonas hydrophila // Allochromatium vinosum // Bacillus thuringiensis // Citrobacter freundii // Deinococcus radiodurans // Deinococcus radiophilus // Enterococcus casseliflavus // Escherichia coli // Glutamicibacter nicotianae // Halobacterium salinarum // Halococcus morrhuae // Haloferax volcanii // Halorubrum saccharovorum // Halorubrum trapanicum // Liquorilactobacillus mali // Micrococcus luteus // Mycolicibacterium phlei // Myxococcus fulvus // Nesterenkonia halobia // Pectobacterium carotovorum // Planococcus citreus // Proteus mirabilis // Proteus vulgaris // Rubrivivax gelatinosus // Salinivibrio costicola // Serratia marcescens // Staphylococcus aureus // Thermus aquaticus // Thermus thermophilus // Virgibacillus pantothenticus // Klebsiella aerogenes	Halobacteria // Bacteria <bacteria>
chitin derivatives degradation	Vibrio cholerae non-O1 // Vibrio cholerae O1 // Vibrio furnissii	Vibrionaceae
oxalate biosynthesis	Fomitopsis palustris // Sclerotinia sclerotiorum // Aspergillus fumigatus // Dianthus caryophyllus // Botrytis cinerea // Aspergillus niger	Viridiplantae // Fungi
<i>meta</i> cleavage pathway of aromatic compounds	Cupriavidus necator // Azotobacter vinelandii // Ralstonia pickettii // Acinetobacter calcoaceticus // Pseudomonas sp. CF600 // Pseudomonas putida // Pseudomonas putida // Pseudomonas putida // Pseudomonas putida	Bacteria <bacteria>
succinate to cytochrome <i>c</i> oxidase via plastocyanin	Parasynechococcus marenigrum	Viridiplantae // Cyanobacteria
superpathway of menaquinol-8 biosynthesis III	Halalkalibacterium halodurans // Campylobacter jejuni // Chlamydia abortus // Chlamydia caviae // Chlamydia felis // Chlamydia muridarum // Chlamydia trachomatis // Helicobacter pylori // Leptospira borgpetersenii // Leptospira interrogans	Bacteria <bacteria>
chitin degradation II (Vibrio)	Nepenthes alata // Nepenthes rafflesiana // Serratia marcescens // Vibrio cholerae // Vibrio cholerae // Vibrio cholerae non-O1 // Vibrio cholerae O1 // Vibrio furnissii	Viridiplantae // Opisthokonta // Firmicutes // Actinobacteria // Bacteroidetes <Bacteroidetes> // Proteobacteria
2-hydroxyparaconate and itatartarate biosynthesis	Aspergillus terreus // Ustilago cynodontis // Ustilago maydis	Fungi
benzoate degradation II (aerobic and anaerobic)	Aromatoleum evansii // Geobacillus stearothermophilus // Rhodopseudomonas palustris // Thauera aromatica	Bacteria <bacteria>
menaquinol-9 biosynthesis	Dermatophilus congolensis // Gordonia terrae // Gordonia rubripertincta // Gordonia bronchialis // Mycobacterium tuberculosis // Mycolicibacterium smegmatis // Mycolicibacterium phlei // Mycobacterium avium // Mycobacterium intracellulare // Mycolicibacterium farcinogenes // Mycobacterium tuberculosis variant bovis // Mycobacterium avium // Tsukamurella paurometabola // Corynebacterium diphtheriae // Curtobacterium luteum // Curtobacterium citreum // Curtobacterium albidum // Clavibacter michiganensis // Clavibacter michiganensis // Clavibacter michiganensis // Clavibacter michiganensis // Curtobacterium flaccumfaciens // Glutamicibacter protophormiae // Brevibacterium fuscum // Lactococcus lactis // Lactococcus cremoris // Micrococcus luteus // Jonesia denitrificans // Liquorilactobacillus mali // Lederbergia lenta // Magnetospirillum molischianum // Magnetospirillum fulvum // Blastochloris viridis // Eisenibacter elegans // Myxococcus fulvus // Odoribacter splanchnicus // Porphyromonas levii // Porphyromonas asaccharolytica	Bacteria <bacteria>
chitin degradation III (Serratia)	Serratia marcescens	Bacteria <bacteria>
6-gingerol analog biosynthesis (engineered)	Lithospermum erythrorhizon // Oryza sativa // Saccharomyces cerevisiae	
benzoate degradation I (aerobic)	Acinetobacter calcoaceticus // Azotobacter vinelandii // Corynebacterium glutamicum // Cupriavidus necator // Pseudomonas putida // Pseudomonas putida // Pseudomonas sp. NT4 // Ralstonia eutropha	Actinobacteria // Proteobacteria
NADH to cytochrome <i>bo</i> oxidase electron transfer II	Pseudomonas putida // Escherichia coli	Bacteria <bacteria> // Archaea
superpathway of menaquinol-6 biosynthesis	Capnocytophaga gingivalis // Capnocytophaga ochracea // Capnocytophaga sputigena // Desulfovibrio desulfuricans // Megalodesulfovibrio gigas // Desulfovibrio vulgaris // Mammaliicoccus lentus // Mammaliicoccus sciuri // Micrococcus luteus	Bacteria <bacteria>
chitin degradation I (archaea)	Thermococcus kodakarensis	Archaea
(3<i>R</i>)-N-[(2<i>S</i>)-1-hydroxy-6-[(3<i>R</i>)-3-isocyanobutanamido]hexan-2-yl]-3-isocyanobutanamide biosynthesis	Streptomyces coeruleorubidus	Actinobacteria
menaquinol-12 biosynthesis	Microbacterium liquefaciens // Microbacterium lacticum // Microbacterium saperdae // Microbacterium testaceum // Agromyces mediolanus // Microbacterium barkeri // Microbacterium imperiale // Prevotella brevis // Prevotella ruminicola // Prevotella oralis	Agromyces // Microbacterium // Prevotella
isorenieratene biosynthesis II (<i>Chlorobiaceae</i>)	Chlorobaculum limnaeum // Chlorobaculum tepidum // Chlorobium phaeobacteroides // Chlorobium phaeobacteroides	Chlorobiaceae
mycocyclosin biosynthesis	Mycobacterium tuberculosis // Mycobacterium tuberculosis	Bacteria <bacteria>
diphyllin biosynthesis	Linum // Linum perenne	Viridiplantae
succinate to cytochrome <i>bo</i> oxidase electron transfer	Pseudomonas putida // Escherichia coli	Bacteria <bacteria>
superpathway of menaquinol-11 biosynthesis	Agromyces mediolanus // Bacteroides eggerthii // Bacteroides fragilis // Bacteroides ovatus // Bacteroides thetaiotaomicron // Leifsonia aquatica // Microbacterium barkeri // Microbacterium imperiale // Microbacterium lacticum // Microbacterium liquefaciens // Microbacterium saperdae // Microbacterium testaceum // Phocaeicola vulgatus // Prevotella intermedia // Prevotella melaninogenica // Prevotella oralis // Prevotella ruminicola	Phocaeicola // Micrococcales // Prevotella // Bacteroides
isorenieratene biosynthesis I (actinobacteria)	Streptomyces coelicolor // Streptomyces griseus // Streptomyces lividans // Streptomyces mediolani // Streptomyces odorifer	Actinobacteria
(-)-microperfuranone biosynthesis	Aspergillus nidulans	Aspergillaceae // Fungi
(+)-secoisolariciresinol diglucoside biosynthesis	Linum usitatissimum	Magnoliopsida
menaquinol-8 biosynthesis	Aeromonas caviae // Aeromonas hydrophila // Allochromatium vinosum // Bacillus thuringiensis // Citrobacter freundii // Deinococcus radiodurans // Deinococcus radiophilus // Enterococcus casseliflavus // Escherichia coli // Glutamicibacter nicotianae // Halobacterium salinarum // Halococcus morrhuae // Haloferax volcanii // Halorubrum saccharovorum // Halorubrum trapanicum // Klebsiella aerogenes // Liquorilactobacillus mali // Micrococcus luteus // Mycolicibacterium phlei // Myxococcus fulvus // Nesterenkonia halobia // Pectobacterium carotovorum // Planococcus citreus // Proteus mirabilis // Proteus vulgaris // Rubrivivax gelatinosus // Salinivibrio costicola // Serratia marcescens // Staphylococcus aureus // Thermus aquaticus // Virgibacillus pantothenticus	Archaea // Bacteria <bacteria>
indigo biosynthesis	Persicaria tinctoria // Pseudomonas sp. NCIB9816-4 // Strobilanthes cusia	Viridiplantae // Bacteria <bacteria>
arctigenin and isoarctigenin biosynthesis	Anthriscus sylvestris // Carthamus tinctorius // Forsythia koreana	Magnoliopsida
superpathway of menaquinol-8 biosynthesis II	Streptomyces coelicolor // Streptomyces coelicolor // Thermus thermophilus // Thermus thermophilus	Halobacteria // Bacteria <bacteria>
abscisic acid biosynthesis	Solanum lycopersicum // Solanum tuberosum // Arabidopsis thaliana	Embryophyta
gadusol biosynthesis	Danio rerio	Vertebrata <vertebrates>
6-methoxypodophyllotoxin biosynthesis	Linum flavum // Linum nodiflorum	Spermatophyta
superpathway of menaquinol-7 biosynthesis	Alkalihalobacillus alcalophilus // Bacillus amyloliquefaciens // Bacillus badius // Bacillus cereus // Niallia circulans // Weizmannia coagulans // Cytobacillus firmus // Bacillus halotolerans // Bacillus licheniformis // Priestia megaterium // Peribacillus psychrosaccharolyticus // Bacillus pumilus // Bacillus racemilacticus // Bacillus subtilis // Bacillus thuringiensis // Brochothrix thermosphacta // Chlorobaculum thiosulfatiphilum // Desulfotomaculum nigrificans // Domibacillus aminovorans // Eisenibacter elegans // Exiguobacterium acetylicum // Geobacillus stearothermophilus // Lactococcus cremoris // Listeria grayi // Myxococcus fulvus // Pimelobacter simplex // Prevotella melaninogenica // Psychrobacillus insolitus // Salinivibrio costicola // Sporolactobacillus inulinus // Sporosarcina ureae // Staphylococcus aureus // Staphylococcus capitis // Staphylococcus cohnii // Staphylococcus epidermidis // Staphylococcus haemolyticus // Staphylococcus hominis // Staphylococcus saprophyticus // Staphylococcus simulans // Staphylococcus warneri // Thermoplasma acidophilum // Thermus aquaticus // Thermus thermophilus	Archaea // Bacteria <bacteria>
abscisic acid biosynthesis shunt	Hordeum vulgare // Solanum lycopersicum // Solanum tuberosum	Viridiplantae
superpathway of quinolone and alkylquinolone biosynthesis	Burkholderia thailandensis // Pseudomonas aeruginosa // Pseudomonas aeruginosa // Pseudomonas aeruginosa	Bacteria <bacteria>
sesaminol glucoside biosynthesis	Catharanthus roseus // Sesamum alatum // Sesamum indicum // Sesamum radiatum	Lamiales // lamiids
menaquinol-4 biosynthesis II	Homo sapiens	Metazoa
paerucumarin biosynthesis	Pseudomonas aeruginosa	Pseudomonas
hinokinin biosynthesis	Podophyllum peltatum // Sinopodophyllum hexandrum	Magnoliopsida
menaquinol-6 biosynthesis	Helicobacter pylori // Capnocytophaga gingivalis // Capnocytophaga ochracea // Capnocytophaga sputigena // Desulfovibrio desulfuricans // Megalodesulfovibrio gigas // Desulfovibrio vulgaris // Mammaliicoccus lentus // Mammaliicoccus sciuri // Micrococcus luteus	Bacteria <bacteria>
2-nitrotoluene degradation	Acidovorax sp. JS42	Bacteria <bacteria>
salidroside biosynthesis	Rhodiola rosea // Rhodiola sachalinensis	Viridiplantae
sesamin biosynthesis	Sesamum indicum // Sesamum radiatum	Viridiplantae
menaquinol-11 biosynthesis	Agromyces mediolanus // Bacteroides eggerthii // Bacteroides fragilis // Bacteroides ovatus // Bacteroides thetaiotaomicron // Phocaeicola vulgatus // Leifsonia aquatica // Microbacterium barkeri // Microbacterium imperiale // Microbacterium lacticum // Microbacterium liquefaciens // Microbacterium saperdae // Microbacterium testaceum // Prevotella intermedia // Prevotella melaninogenica // Prevotella oralis // Prevotella ruminicola	Actinobacteria // Bacteroidetes <Bacteroidetes>
2,4,6-trinitrotoluene degradation	Arabidopsis thaliana	Viridiplantae
cremeomycin biosynthesis	Streptomyces cremeus	Actinomycetia
justicidin B biosynthesis	Linum perenne	Viridiplantae
superpathway of menaquinol-10 biosynthesis	Actinomyces bovis // Bacteroides eggerthii // Bacteroides fragilis // Bacteroides ovatus // Bacteroides thetaiotaomicron // Phocaeicola vulgatus // Leifsonia aquatica // Nocardiopsis dassonvillei // Parabacteroides distasonis // Porphyromonas asaccharolytica // Prevotella melaninogenica // Prevotella oralis // Rathayibacter iranicus // Rathayibacter tritici	Actinobacteria // Bacteroidetes <Bacteroidetes>
4-nitrotoluene degradation I	Pseudomonas putida // Pseudomonas sp. NT4	Proteobacteria
grixazone biosynthesis	Streptomyces griseus	Actinomycetia
podophyllotoxin glucosides metabolism	Linum flavum // Linum nodiflorum // Podophyllum peltatum	Ranunculales // eudicotyledons
4-nitrotoluene degradation II	Mycobacterium sp.	Bacteria <bacteria>
1-tuberculosinyladenosine biosynthesis	Mycobacterium tuberculosis // Mycobacterium tuberculosis // Mycobacterium tuberculosis variant bovis	Mycobacterium
(-)-4'-demethyl-epipodophyllotoxin biosynthesis	Sinopodophyllum hexandrum	Magnoliopsida
taurine biosynthesis I	Bos taurus // Homo sapiens // Mammalia // Mus musculus // Polaribacter irgensii // Rattus norvegicus // Synechococcus sp. PCC 7335	Bacteria <bacteria> // Mammalia
2-amino-3-hydroxycyclopent-2-enone biosynthesis	Streptomyces aizunenesis	Actinobacteria
matairesinol biosynthesis	Forsythia x intermedia // Podophyllum peltatum // Thuja plicata	Viridiplantae
taurine biosynthesis III	Gallus gallus	Sauropsida
indican biosynthesis	Strobilanthes cusia // Persicaria tinctoria	Viridiplantae
urea degradation I	Cyberlindnera jadinii // Oleomonas sagaranensis // Saccharomyces cerevisiae // Chlorella sp. (Roon 68)	Bacteria <bacteria> // Chlorophyta // Rhodophyta // Fungi
taurine biosynthesis II	Bos taurus // Homo sapiens // Mus musculus // Rattus norvegicus	Bacteria <bacteria> // Mammalia
shinorine biosynthesis	Pseudonocardia sp. P1 // Actinosynnema mirum // Trichormus variabilis // Nostoc punctiforme	Bacteria <bacteria>
urea degradation II	Glycine max // Helicobacter pylori // Streptococcus salivarius // Sinorhizobium meliloti Rm2011	Bacteria <bacteria> // Viridiplantae // Fungi
&gamma;-linolenate biosynthesis III (cyanobacteria)	Arthrospira platensis // Prochlorococcus marinus // Synechocystis sp. PCC 6803	Cyanobacteria
4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis	Burkholderia thailandensis // Pseudomonas aeruginosa // Pseudomonas aeruginosa	Bacteria <bacteria>
deoxynivalenol biosynthesis	Fusarium graminearum // Fusarium graminearum // Fusarium graminearum	Fungi
&gamma;-linolenate biosynthesis II (animals)	Amylomyces rouxii // Cyberlindnera jadinii // Homo sapiens // Yarrowia lipolytica	Opisthokonta
psilocybin biosynthesis	Psilocybe cubensis // Psilocybe cyanescens	Psilocybe
T-2 toxin biosynthesis	Fusarium sporotrichioides	Fungi
&gamma;-linolenate biosynthesis I (plants)	Arthrospira platensis // Borago officinalis // Cannabis sativa // Oenothera biennis // Physcomitrium patens // Ribes nigrum	Viridiplantae // Cyanobacteria
preQ<sub>0</sub> biosynthesis	Bacillus subtilis // Escherichia coli	Bacteria <bacteria>
calonectrin biosynthesis	Fusarium graminearum // Fusarium sporotrichioides // Trichoderma arundinaceum // Trichoderma brevicompactum	Fungi
proanthocyanidins biosynthesis from flavanols	Camellia sinensis // Desmodium uncinatum // Lotus corniculatus // Medicago truncatula	Tracheophyta
ibotenate and muscimol biosynthesis	Amanita crenulata // Amanita muscaria // Amanita pantherina	Fungi
harzianum A and trichodermin biosynthesis	Trichoderma arundinaceum // Trichoderma brevicompactum	Fungi
homogalacturonan degradation	Actinidia deliciosa // Aspergillus aculeatus // Aspergillus niger // Aspergillus tubingensis // Brassica napus // Chamaecyparis obtusa // Citrus sinensis // Cryptomeria japonica // Daucus carota // Gossypium barbadense // Gossypium hirsutum // Malus domestica // Medicago sativa // Nicotiana tabacum // Persea americana // Solanum lycopersicum // Vitis vinifera // Arabidopsis thaliana	Fungi // Bacteria <bacteria> // Embryophyta
violacein biosynthesis	Chromobacterium violaceum // Chromobacterium violaceum // Collimonas sp. CT // Duganella sp. B2 // Janthinobacterium lividum // Pseudoalteromonas luteoviolacea	Bacteria <bacteria>
nivalenol biosynthesis	Fusarium graminearum // Fusarium graminearum // Fusarium graminearum	Fungi
factor 420 biosynthesis II (mycobacteria)	Kitasatospora aureofaciens // Mycobacterium // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Mycobacterium tuberculosis variant bovis // Mycolicibacterium smegmatis // Nocardia // Streptomyces // Synechocystis	Actinobacteria // Cyanobacteria
pectin degradation II	Thermotoga maritima	Bacteria <bacteria>
pulcherrimin biosynthesis	Bacillus subtilis // Metschnikowia pulcherrima	Fungi // Bacteria <bacteria>
anguibactin biosynthesis	Vibrio anguillarum // Vibrio harveyi	Bacteria <bacteria>
fructan biosynthesis	Allium cepa // Helianthus tuberosus // Hordeum vulgare	Bacteria <bacteria> // Embryophyta
3PG-factor 420 biosynthesis	Mycetohabitans rhizoxinica	Proteobacteria
